,bnx_inc,met_inc,oum_inc,oub_inc,ouo_inc,abs_inc,bnx_prev,met_prev,oum_prev,oub_prev,ouo_prev,abs_prev
bnx_inc,0,0,0,0,0,0,,,,,,
met_inc,0,0,0.976508074,0,0,0.023491926,,,,,,
oum_inc,0,1,0,0,0,0,,,,,,
oub_inc,0,0,0,0,0,0,,,,,,
ouo_inc,0,1,0,0,0,0,,,,,,
abs_inc,0,0,0,0,1,0,,,,,,
odn_inc,0,0.026207422,0,0,0.973792578,0,,,,,,
bnx_prev,,,,,,,0,0,0,0,0,0
met_prev,,,,,,,0,0,0.990726107,0,0,0.009273893
oum_prev,,,,,,,0,1,0,0,0,0
oub_prev,,,,,,,0,0,0,0,0,0
ouo_prev,,,,,,,0,1,0,0,0,0
abs_prev,,,,,,,0,0,0,0,1,0
odn_prev,,,,,,,0,0.035591564,0,0,0.964408436,0
