perc_improvement_tx,perc_improvement_death,hr_tx_dsa_inc,hr_tx_dsa_prev,hr_death_dsa_inc,hr_death_dsa_prev
-0.4,-0.4,2.338,1.904,0.798,1.848
-0.35,-0.4,2.2545,1.836,0.798,1.848
-0.3,-0.4,2.171,1.768,0.798,1.848
-0.25,-0.4,2.0875,1.7,0.798,1.848
-0.2,-0.4,2.004,1.632,0.798,1.848
-0.15,-0.4,1.9205,1.564,0.798,1.848
-0.1,-0.4,1.837,1.496,0.798,1.848
-0.05,-0.4,1.7535,1.428,0.798,1.848
0,-0.4,1.67,1.36,0.798,1.848
0.05,-0.4,1.5865,1.292,0.798,1.848
0.1,-0.4,1.503,1.224,0.798,1.848
0.15,-0.4,1.4195,1.156,0.798,1.848
0.2,-0.4,1.336,1.088,0.798,1.848
0.25,-0.4,1.2525,1.02,0.798,1.848
0.3,-0.4,1.169,0.952,0.798,1.848
0.35,-0.4,1.0855,0.884,0.798,1.848
0.4,-0.4,1.002,0.816,0.798,1.848
-0.4,-0.35,2.338,1.904,0.7695,1.782
-0.35,-0.35,2.2545,1.836,0.7695,1.782
-0.3,-0.35,2.171,1.768,0.7695,1.782
-0.25,-0.35,2.0875,1.7,0.7695,1.782
-0.2,-0.35,2.004,1.632,0.7695,1.782
-0.15,-0.35,1.9205,1.564,0.7695,1.782
-0.1,-0.35,1.837,1.496,0.7695,1.782
-0.05,-0.35,1.7535,1.428,0.7695,1.782
0,-0.35,1.67,1.36,0.7695,1.782
0.05,-0.35,1.5865,1.292,0.7695,1.782
0.1,-0.35,1.503,1.224,0.7695,1.782
0.15,-0.35,1.4195,1.156,0.7695,1.782
0.2,-0.35,1.336,1.088,0.7695,1.782
0.25,-0.35,1.2525,1.02,0.7695,1.782
0.3,-0.35,1.169,0.952,0.7695,1.782
0.35,-0.35,1.0855,0.884,0.7695,1.782
0.4,-0.35,1.002,0.816,0.7695,1.782
-0.4,-0.3,2.338,1.904,0.741,1.716
-0.35,-0.3,2.2545,1.836,0.741,1.716
-0.3,-0.3,2.171,1.768,0.741,1.716
-0.25,-0.3,2.0875,1.7,0.741,1.716
-0.2,-0.3,2.004,1.632,0.741,1.716
-0.15,-0.3,1.9205,1.564,0.741,1.716
-0.1,-0.3,1.837,1.496,0.741,1.716
