,bnx_inc,met_inc,oum_inc,oub_inc,ouo_inc,abs_inc,bnx_prev,met_prev,oum_prev,oub_prev,ouo_prev,abs_prev
bnx_inc,0,0,0,0.978673384,0,0.021326616,,,,,,
met_inc,0,0,0,0,0,0,,,,,,
oum_inc,0,0,0,0,0,0,,,,,,
oub_inc,1,0,0,0,0,0,,,,,,
ouo_inc,1,0,0,0,0,0,,,,,,
abs_inc,0,0,0,0,1,0,,,,,,
odn_inc,0.026207422,0,0,0,0.973792578,0,,,,,,
bnx_prev,,,,,,,0,0,0,0.992016399,0,0.007983601
met_prev,,,,,,,0,0,0,0,0,0
oum_prev,,,,,,,0,0,0,0,0,0
oub_prev,,,,,,,1,0,0,0,0,0
ouo_prev,,,,,,,1,0,0,0,0,0
abs_prev,,,,,,,0,0,0,0,1,0
odn_prev,,,,,,,0.035591564,0,0,0,0.964408436,0
