"scenario","time","mean","q025","q975"
"Initiator analysis",2010,-3.46994165713289,-9.21816203435103,0.194838835048274
"Initiator analysis",2012,-59.9050236025133,-137.078519906058,-10.016409368351
"Initiator analysis",2014,-215.591299954882,-470.259356188647,-52.2899796281906
"Initiator analysis",2016,-540.124879797848,-1138.5982511556,-159.903975541091
"Initiator analysis",2018,-1162.56761197336,-2378.03277613429,-386.576071578628
"Initiator analysis",2020,-1602.24910382601,-3249.3860838963,-549.092515400109
"Per-protocol sensitivity analysis",2010,-2.99317183318588,-8.3767243406666,0.419633074395639
"Per-protocol sensitivity analysis",2012,-49.0173585636613,-123.195335445974,-1.38174636017757
"Per-protocol sensitivity analysis",2014,-171.013634292456,-419.278092613541,-12.9284975010584
"Per-protocol sensitivity analysis",2016,-419.306018860553,-1019.44937032863,-44.2859587818776
"Per-protocol sensitivity analysis",2018,-893.20295942568,-2157.37341352808,-115.185733371107
"Per-protocol sensitivity analysis",2020,-1228.98062778704,-2958.97317021197,-168.179857579791
"Per-protocol sensitivity analysis (high-dose)",2010,-1.31724661105016,-8.11405454146729,2.11812826458674
"Per-protocol sensitivity analysis (high-dose)",2012,-25.8854184269905,-119.239147708279,21.821144996711
"Per-protocol sensitivity analysis (high-dose)",2014,-96.3699930055455,-408.736307363262,63.0841557911033
"Per-protocol sensitivity analysis (high-dose)",2016,-250.264955275508,-997.437541948169,132.714290892144
"Per-protocol sensitivity analysis (high-dose)",2018,-556.102833014731,-2116.30543372607,242.566207605027
"Per-protocol sensitivity analysis (high-dose)",2020,-776.452596676588,-2912.24208834673,319.297532787008
