"scenario","time","mean","q025","q975"
"Initiator analysis",2010,47.7410055047752,36.335380061387,60.506713635974
"Initiator analysis",2012,235.699763512042,176.649855468667,300.751009016498
"Initiator analysis",2014,562.510792602982,416.176532844007,721.205226257603
"Initiator analysis",2016,1280.50533749848,927.074064289105,1666.6673923145
"Initiator analysis",2018,2480.39329672235,1738.72644634864,3266.05758127889
"Initiator analysis",2020,3074.05970107086,2113.07208251419,4081.07948796352
"Per-protocol sensitivity analysis",2010,42.2628078334194,31.644390655953,54.0540404299682
"Per-protocol sensitivity analysis",2012,200.446766502468,149.18737597777,257.679354373483
"Per-protocol sensitivity analysis",2014,460.532127174785,339.930195504276,594.618532346611
"Per-protocol sensitivity analysis",2016,1021.68554065022,734.210132912135,1341.92881737205
"Per-protocol sensitivity analysis",2018,2006.22654994798,1373.81048219146,2672.41125112638
"Per-protocol sensitivity analysis",2020,2492.71410183243,1656.16857892363,3354.14825407866
"Per-protocol sensitivity analysis (high-dose)",2010,42.824180522996,31.9822512055363,55.1608999716044
"Per-protocol sensitivity analysis (high-dose)",2012,204.745392787346,152.415921657641,264.068019806923
"Per-protocol sensitivity analysis (high-dose)",2014,473.309763365081,347.630540774494,615.61075838899
"Per-protocol sensitivity analysis (high-dose)",2016,1062.07687687002,752.602265084022,1398.98338624741
"Per-protocol sensitivity analysis (high-dose)",2018,2118.67402733999,1402.11421295839,2859.09421400022
"Per-protocol sensitivity analysis (high-dose)",2020,2648.17619474467,1681.34193521087,3602.54814189695
